x,y,z 
994.833,73260.96,445.0
994.833,73759.356,445.0
994.833,74257.659,446.0
994.833,74756.055,447.0
994.833,75254.45,446.0
994.833,75752.754,445.0
994.833,76251.149,445.0
994.833,76749.544,444.0
994.833,77247.939,446.0
994.833,77746.243,445.0
994.833,78244.638,443.0
994.833,78743.033,443.0
994.833,79241.428,444.0
994.833,79739.731,441.0
994.833,80238.126,442.0
994.833,80736.52,440.0
994.833,81234.915,442.0
994.833,81733.218,444.0
994.833,82231.613,441.0
994.833,82730.007,444.0
994.833,83228.31,440.0
994.833,83726.704,442.0
994.833,84225.098,440.0
994.833,84723.493,441.0
994.833,85221.795,444.0
994.833,85720.189,438.0
994.833,86218.583,438.0
994.833,86716.977,440.0
994.833,87215.28,439.0
994.833,87713.673,438.0
994.833,88212.067,436.0
994.833,88710.461,438.0
994.833,89208.763,440.0
994.833,89707.157,437.0
994.833,90205.55,435.0
994.833,90703.852,435.0
994.833,91202.245,437.0
994.833,91700.639,435.0
994.833,92199.032,437.0
994.833,92697.334,433.0
994.833,93195.727,433.0
994.833,93694.12,435.0
994.833,94192.513,434.0
994.833,94690.814,434.0
994.833,95189.207,432.0
994.833,95687.599,434.0
994.833,96185.992,435.0
994.833,96684.293,434.0
994.833,97182.686,434.0
1492.304,0.0,1353.0
1492.304,498.399,1357.0
1492.304,996.707,1366.0
1492.304,1495.107,1375.0
1492.304,1993.506,1385.0
1492.304,2491.906,1390.0
1492.304,2990.214,1395.0
1492.304,3488.613,1390.0
1492.304,3987.013,1385.0
1492.304,4485.412,1377.0
1492.304,4983.72,1361.0
1492.304,5482.12,1346.0
1492.304,5980.519,1332.0
1492.304,6478.919,1330.0
1492.304,6977.227,1337.0
1492.304,7475.626,1350.0
1492.304,7974.025,1353.0
1492.304,8472.333,1384.0
1492.304,8970.733,1436.0
1492.304,9469.132,1444.0
1492.304,9967.532,1437.0
1492.304,10465.839,1408.0
1492.304,10964.239,1357.0
1492.304,11462.638,1333.0
1492.304,11961.038,1334.0
1492.304,12459.346,1358.0
1492.304,12957.745,1362.0
1492.304,13456.144,1301.0
1492.304,13954.544,1339.0
1492.304,14452.851,1360.0
1492.304,14951.251,1286.0
1492.304,15449.65,1237.0
1492.304,15947.958,1231.0
1492.304,16446.357,1132.0
1492.304,16944.756,1095.0
1492.304,17443.156,1079.0
1492.304,17941.463,1074.0
1492.304,18439.863,1036.0
1492.304,18938.262,988.0
